Fecha,Hora,Técnico,Locación,pH,Turbidez (NTU),Cloro Residual (mg/L),Observaciones,Foto
24/03/2023,15:30:00,Fernando Cuesta,L95-AC-SUR-COM2,7.62,970.00,0.00,,
25/03/2023,15:30:00,Fernando Cuesta,L95-AC-SUR-COM2,7.57,875.00,0.00,,
26/03/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.59,815.00,0.00,,
27/03/2023,09:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.57,790.00,0.00,,
28/03/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.63,915.00,0.00,,
29/03/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.61,875.00,0.00,,
30/03/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,825.00,0.00,,
31/03/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,825.00,0.00,,
1/04/2023,11:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,790.00,0.00,,
2/04/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.70,915.00,0.00,,
3/04/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,817.00,0.00,,
4/04/2023,12:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.50,745.00,0.00,,
5/04/2023,10:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.60,815.00,0.00,,
6/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.58,807.00,0.00,,
7/04/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.55,822.00,0.00,,
8/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.78,868.00,0.00,,
9/04/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.76,881.00,0.00,,
10/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.74,860.00,0.00,,
11/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.74,876.00,0.00,,
12/04/2023,13:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.78,870.00,0.00,,
13/04/2023,14:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.76,912.00,0.00,,
14/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.74,928.00,0.00,,
15/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.78,930.00,0.00,,
16/04/2023,16:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.75,946.00,0.00,,
17/04/2023,12:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.78,935.00,0.00,,
18/04/2023,15:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.76,928.00,0.00,,
19/04/2023,17:00:00,Fernando Cuesta,L95-AC-SUR-COM2,7.78,964.00,0.00,,
